Año,Peliculas_de_Terror,Indice_Popularidad_0_100,Tendencia,Factor_Clave,Franquicia_Hito,Hito_Historico
1920,8,30,Estable,Expresionismo alemán e inicios del cine mudo,Cine Mudo / Nosferatu,Pioneros del terror expresionista y vampirismo
1925,12,40,Aumento,Éxitos de Lon Chaney (El fantasma de la ópera),Universal Silent Era,Nacimiento de los monstruos icónicos del cine mudo
1930,15,50,Aumento,Inicio del auge del terror sonoro,Universal Classics,Transición del género al cine con sonido
1931,17,55,Aumento,Estreno de Drácula y Frankenstein por Universal,Universal Monsters,Primer universo cinematográfico de terror de la historia
1935,22,65,Aumento,Pico de la era dorada de Universal (La novia de Frankenstein),Universal Monsters,Consolidación del terror clásico gótico
1940,28,50,Disminución,Efectos de la Segunda Guerra Mundial y censura,Universal Crossovers,Inicios de los 'crossovers' entre monstruos (El Hombre Lobo)
1945,18,40,Disminución,Fatiga de fórmulas y monstruos repetitivos,Universal Monsters,Declive y parodias de la fórmula clásica
1950,25,45,Aumento,Transición hacia la ciencia ficción de la Guerra Fría,Sci-Fi Horror,Surgimiento de monstruos atómicos e invasiones
1955,42,55,Aumento,Terror con mutantes y radiación atómica,B-Movies (Corman),Evolución del terror de bajo presupuesto y autocines
1960,65,70,Aumento,Estreno de Psicosis y renovación del género,Psycho (Psicosis),Nacimiento del terror psicológico moderno y del prototipo slasher
1965,85,68,Estable,Consolidación de Hammer Film Productions,Hammer Films,Reinvención británica en color del terror gótico
1968,95,72,Aumento,Cine de culto y gore independiente,Night of the Living Dead,Nacimiento del cine de zombis moderno
1970,120,75,Aumento,Terror satánico y sobrenatural en desarrollo,Hammer / Amicus,Último auge del terror gótico tradicional
1973,145,82,Aumento,Consagración masiva del terror sobrenatural,The Exorcist,Primera película de terror nominada al Óscar a Mejor Película
1975,165,88,Aumento,Fenómenos de taquilla masivos (Tiburón),Jaws (Tiburón),Nacimiento del blockbuster de verano y terror creature feature
1978,200,90,Aumento,Nacimiento del slasher independiente moderno,Halloween,Establecimiento de las reglas del subgénero Slasher moderno
1980,240,92,Aumento,Auge del slasher y efectos especiales prácticos,Friday the 13th,Masificación comercial del cine de asesinos en serie y el gore
1984,285,90,Aumento,Slasher fantástico en auge,A Nightmare on Elm Street,Introducción de elementos fantásticos/oníricos al slasher clásico
1985,310,88,Disminución,Saturación de secuelas directas a video,Slasher Era,Pico de producción de secuelas slasher en formato VHS
1990,210,70,Disminución,Declive comercial del slasher tradicional,Stephen King Adaptations,Auge de miniseries y adaptaciones psicológicas
1995,195,60,Disminución,Punto bajo en la taquilla general del género,Urban Legends / Body Horror,Experimentación previa a la llegada del meta-terror
1996,230,68,Aumento,Resucitación del slasher comercial,Scream,Reinvención del género mediante el terror autoconsciente y la meta-comedia
1999,260,70,Aumento,Marketing viral e internet en el cine,The Blair Witch Project,Pionera en el uso del formato Metraje Encontrado (Found Footage)
2000,280,72,Aumento,Resurgimiento por remakes de J-Horror,J-Horror (The Ring),Masificación del terror psicológico oriental en Occidente
2002,340,75,Aumento,Reinvención del género de zombis y acción,28 Days Later / Resident Evil,Popularización de los zombis rápidos y la acción apocalíptica
2004,410,77,Aumento,Surgimiento del cine explícito/torture porn,Saw,Inicio de la era del Torture Porn y el terror procedural
2005,450,78,Aumento,Popularidad del estilo torture porn y metraje encontrado,Hostel / Remakes,Consolidación del terror explícito en salas
2007,520,80,Aumento,Rentabilidad extrema de producciones de ultra bajo presupuesto,Paranormal Activity,Consolidación masiva del Metraje Encontrado
2010,620,80,Aumento,Llegada de la franquicia El Conjuro y Blumhouse,Insidious / Blumhouse,Nacimiento del modelo de producción de bajo costo de Blumhouse
2013,740,84,Aumento,Consolidación del cine de casas embrujadas y demonios,The Conjuring Universe,Creación del universo compartido de terror más taquillero
2015,890,88,Aumento,Surgimiento del "Elevated Horror" (A24),A24 / Elevated Horror,Auge del terror psicológico de autor (The Witch, Hereditary)
2017,980,91,Aumento,Éxito de taquilla histórico para adaptaciones literarias,IT (Eso),Película de terror más taquillera de la historia sin ajustar por inflación
2020,1050,90,Aumento,Consolidación del género como el más rentable en cines,Streaming Horror,Expansión masiva del terror exclusivo en plataformas digitales
2021,1180,92,Aumento,Recuperación rápida post-pandemia en taquilla,Quiet Place / Candyman,El terror lidera la reapertura de cines a nivel global
2022,1320,94,Aumento,Éxitos virales y slasher independiente masivo,Terrifier,Consolidación del cine splatter independiente en salas comerciales
2023,1410,95,Aumento,Dominio continuo en taquilla de bajo presupuesto,Five Nights at Freddy's,Auge de adaptaciones de videojuegos de terror para público joven
2024,1480,96,Aumento,Expansión internacional y fenómenos de redes,Alien: Romulus / Smile 2,Resurgimiento de grandes franquicias de ciencia ficción y terror
2025,1520,97,Aumento,Consolidación de franquicias y terror de autor,M3GAN / Universos Indie,Consolidación de nuevas franquicias tecnológicas y de autor
